Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,420.400,974.600,420.400,974.600,420.400,974.600,210.200,487.300
2,298.100,1146.400,298.100,974.600,420.400,1146.400,254.150,816.850
3,311.600,1090.300,298.100,974.600,420.400,1146.400,282.875,953.575
4,281.600,1246.700,281.600,974.600,420.400,1246.700,282.238,1100.138
5,326.000,1147.800,281.600,974.600,420.400,1246.700,304.119,1123.969
6,273.300,1116.300,273.300,974.600,420.400,1246.700,288.709,1120.134
7,283.000,1146.500,273.300,974.600,420.400,1246.700,285.855,1133.317
8,285.000,1152.500,273.300,974.600,420.400,1246.700,285.427,1142.909
9,280.500,1139.700,273.300,974.600,420.400,1246.700,282.964,1141.304
10,280.900,1158.800,273.300,974.600,420.400,1246.700,281.932,1150.052
11,279.700,1222.600,273.300,974.600,420.400,1246.700,280.816,1186.326
12,288.700,1251.900,273.300,974.600,420.400,1251.900,284.758,1219.113
13,282.600,1122.400,273.300,974.600,420.400,1251.900,283.679,1170.757
14,280.600,1265.400,273.300,974.600,420.400,1265.400,282.139,1218.078
15,307.000,1435.000,273.300,974.600,420.400,1435.000,294.570,1326.539
16,318.400,1832.900,273.300,974.600,420.400,1832.900,306.485,1579.720
17,298.400,1139.900,273.300,974.600,420.400,1832.900,302.442,1359.810
18,285.200,1117.900,273.300,974.600,420.400,1832.900,293.821,1238.855
19,280.900,1103.300,273.300,974.600,420.400,1832.900,287.361,1171.077
20,482.900,1338.200,273.300,974.600,482.900,1832.900,385.130,1254.639
21,287.300,1139.300,273.300,974.600,482.900,1832.900,336.215,1196.969
22,291.000,1098.900,273.300,974.600,482.900,1832.900,313.608,1147.935
23,403.200,1527.100,273.300,974.600,482.900,1832.900,358.404,1337.517
24,616.900,1515.200,273.300,974.600,616.900,1832.900,487.652,1426.359
25,441.700,1407.300,273.300,974.600,616.900,1832.900,464.676,1416.829
26,288.300,1167.000,273.300,974.600,616.900,1832.900,376.488,1291.915
27,282.900,1143.100,273.300,974.600,616.900,1832.900,329.694,1217.507
28,369.600,1189.800,273.300,974.600,616.900,1832.900,349.647,1203.654
29,303.300,1225.100,273.300,974.600,616.900,1832.900,326.473,1214.377
30,288.800,1161.800,273.300,974.600,616.900,1832.900,307.637,1188.088
31,314.700,1384.100,273.300,974.600,616.900,1832.900,311.168,1286.094
32,381.600,1264.000,273.300,974.600,616.900,1832.900,346.384,1275.047
33,319.900,1400.600,273.300,974.600,616.900,1832.900,333.142,1337.824
34,324.800,1210.700,273.300,974.600,616.900,1832.900,328.971,1274.262
35,307.400,1183.200,273.300,974.600,616.900,1832.900,318.186,1228.731
36,295.900,1162.900,273.300,974.600,616.900,1832.900,307.043,1195.815
37,294.200,1142.300,273.300,974.600,616.900,1832.900,300.621,1169.058
38,273.400,1125.700,273.300,974.600,616.900,1832.900,287.011,1147.379
39,272.500,1124.900,272.500,974.600,616.900,1832.900,279.755,1136.139
40,286.300,1189.000,272.500,974.600,616.900,1832.900,283.028,1162.570
41,306.800,1220.600,272.500,974.600,616.900,1832.900,294.914,1191.585
42,318.400,1184.600,272.500,974.600,616.900,1832.900,306.657,1188.092
43,307.200,1222.800,272.500,974.600,616.900,1832.900,306.928,1205.446
44,318.000,1472.500,272.500,974.600,616.900,1832.900,312.464,1338.973
45,498.100,1446.900,272.500,974.600,616.900,1832.900,405.282,1392.937
46,360.000,1249.900,272.500,974.600,616.900,1832.900,382.641,1321.418
47,322.100,1160.500,272.500,974.600,616.900,1832.900,352.371,1240.959
48,317.200,1173.300,272.500,974.600,616.900,1832.900,334.785,1207.130
49,333.200,1244.600,272.500,974.600,616.900,1832.900,333.993,1225.865
50,402.700,1379.300,272.500,974.600,616.900,1832.900,368.346,1302.582
51,387.200,1224.900,272.500,974.600,616.900,1832.900,377.773,1263.741
52,427.200,1243.600,272.500,974.600,616.900,1832.900,402.487,1253.671
53,341.700,1245.300,272.500,974.600,616.900,1832.900,372.093,1249.485
54,324.000,1215.100,272.500,974.600,616.900,1832.900,348.047,1232.293
55,317.400,1177.200,272.500,974.600,616.900,1832.900,332.723,1204.746
56,312.500,1182.000,272.500,974.600,616.900,1832.900,322.612,1193.373
57,316.500,1181.700,272.500,974.600,616.900,1832.900,319.556,1187.537
58,296.400,1229.800,272.500,974.600,616.900,1832.900,307.978,1208.668
59,397.200,1261.800,272.500,974.600,616.900,1832.900,352.589,1235.234
60,343.600,1284.600,272.500,974.600,616.900,1832.900,348.094,1259.917
61,329.800,1172.200,272.500,974.600,616.900,1832.900,338.947,1216.059
62,302.000,1212.600,272.500,974.600,616.900,1832.900,320.474,1214.329
63,295.100,1133.100,272.500,974.600,616.900,1832.900,307.787,1173.715
64,301.800,1144.100,272.500,974.600,616.900,1832.900,304.793,1158.907
65,307.300,1123.300,272.500,974.600,616.900,1832.900,306.047,1141.104
66,300.600,1156.000,272.500,974.600,616.900,1832.900,303.323,1148.552
67,297.400,1144.000,272.500,974.600,616.900,1832.900,300.362,1146.276
68,339.000,1460.500,272.500,974.600,616.900,1832.900,319.681,1303.388
69,445.600,1216.200,272.500,974.600,616.900,1832.900,382.640,1259.794
70,366.600,1542.000,272.500,974.600,616.900,1832.900,374.620,1400.897
71,443.800,1184.300,272.500,974.600,616.900,1832.900,409.210,1292.598
72,314.000,1129.700,272.500,974.600,616.900,1832.900,361.605,1211.149
73,285.800,1119.600,272.500,974.600,616.900,1832.900,323.703,1165.375
74,278.000,1110.800,272.500,974.600,616.900,1832.900,300.851,1138.087
75,267.300,1116.800,267.300,974.600,616.900,1832.900,284.076,1127.444
76,276.900,1133.100,267.300,974.600,616.900,1832.900,280.488,1130.272
77,289.200,1169.400,267.300,974.600,616.900,1832.900,284.844,1149.836
78,345.200,1282.200,267.300,974.600,616.900,1832.900,315.022,1216.018
79,328.700,1216.100,267.300,974.600,616.900,1832.900,321.861,1216.059
80,332.000,1146.300,267.300,974.600,616.900,1832.900,326.930,1181.179
81,319.500,1120.300,267.300,974.600,616.900,1832.900,323.215,1150.740
82,295.700,1108.900,267.300,974.600,616.900,1832.900,309.458,1129.820
83,294.200,1107.800,267.300,974.600,616.900,1832.900,301.829,1118.810
84,284.800,1149.500,267.300,974.600,616.900,1832.900,293.314,1134.155
85,275.000,1140.500,267.300,974.600,616.900,1832.900,284.157,1137.327
86,273.200,1102.400,267.300,974.600,616.900,1832.900,278.679,1119.864
87,279.500,1117.700,267.300,974.600,616.900,1832.900,279.089,1118.782
88,325.000,1317.300,267.300,974.600,616.900,1832.900,302.045,1218.041
89,318.800,1126.900,267.300,974.600,616.900,1832.900,310.422,1172.470
90,276.900,1111.200,267.300,974.600,616.900,1832.900,293.661,1141.835
91,275.600,1153.600,267.300,974.600,616.900,1832.900,284.631,1147.718
92,273.100,1145.000,267.300,974.600,616.900,1832.900,278.865,1146.359
93,264.000,1168.000,264.000,974.600,616.900,1832.900,271.433,1157.179
94,273.700,1118.200,264.000,974.600,616.900,1832.900,272.566,1137.690
95,289.000,1116.700,264.000,974.600,616.900,1832.900,280.783,1127.195
96,289.300,1119.400,264.000,974.600,616.900,1832.900,285.042,1123.297
97,359.900,1159.000,264.000,974.600,616.900,1832.900,322.471,1141.149
